frame,pub_counts
AFI,156
CHA,103
MFI,93
BEA,87
AEL,58
LTA,54
FER,48
MTW,47
AEI,46
LEV,43
MWW,41
MOR,36
EUO,35
MEL,35
BEC,34
TON,33
AST,31
ITH,27
SOD,23
STF,23
EMT,22
NON,21
RTH,21
IFR,20
MRE,20
STO,20
FAU,20
ITW,19
GIS,19
MTT,16
ATO,16
ITE,16
ATS,15
STT,15
AFX,14
IWW,14
CON,14
IWR,14
OFF,14
AFO,12
VFI,11
RHO,11
SAS,9
DDR,9
ERI,9
UTL,9
STI,8
IMF,8
SFO,8
MEI,7
RUT,7
AFS,7
SGT,7
AFN,7
TUN,7
VET,7
ETL,6
KFI,6
ITT,6
SFF,6
BPH,6
DOH,5
DFT,5
ZON,5
CGS,5
AEN,5
MER,5
IFO,5
SFE,5
LTL,4
MAZ,4
EON,4
AFY,4
AWO,4
LAU,4
ISV,4
MSE,4
STW,4
GME,4
MAZ,4
LAU,4
LTL,4
AWW,3
USI,3
UFI,3
SFS,3
UOV,3
PHI,3
SFH,3
SFW,3
DFO,3
UOZ,3
ITR,3
CTH,3
IRR,3
IHW,3
MOZ,3
SAV,3
SFG,3
SAO,3
SAV,3
MOZ,3
EDI,2
AFV,2
ASV,2
AVL,2
CDO,2
CGF,2
CSV,2
CZP,2
EAB,2
EZT,2
JRY,2
JST,2
MTN,2
POS,2
RTE,2
UOE,2
IFW,1
SOR,1
SOS,1
SOV,1
SAF,1
ACO,1
PUN,1
ITG,1
PWO,1
PWW,1
OWE,1
SBN,1
JSW,1
LOS,1
MRT,1
BOG,1
OSO,0
PAU,0
PCR,0
PCS,0
PON,0
POR,0
AFG,0
PTY,0
PWN,0
IRN,0
RRO,0
VNI,0
IFY,0
HEU,0
GON,0
SAT,0
GIU,0
SBE,0
SBS,0
SBT,0
SEW,0
FRA,0
FAR,0
EWS,0
EWO,0
SFN,0
ETV,0
ETR,0
ESV,0
EPI,0
SIV,0
EEI,0
SOF,0
SSF,0
DAC,0
CFI,0
CAN,0
BSV,0
BRE,0
SVV,0
BOZ,0
SZR,0
TER,0
TOL,0
BOF,0
TSC,0
AVE,0
UEI,0
ATT,0
AET,0
UOS,0
ATN,0
APD,0
APC,0
AHT,0
MEP,0
MAR,0
MFS,0
LOV,0
LTF,0
LIO,0
MSO,0
AFT,0
JSR,0
JSN,0
JOZ,0
NAT,0
JNT,0
NPO,0
NPT,0
NSI,0
OBW,0
IWS,0
OKO,0
OSI,0
